UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
207856,399,369,349,50,41,12,8,1,1,1,10,5,6,18,39,29,380,115,59,203,3,336,109,51,176,0,44,6,8,27,3,42,11,9,1,0,1,10,5,6,17,38,19,13,6,32,16,0,5,5,0,0,0,5,42,47,,,,,,,,,,,,,,83,17,15,0,72,15,13,0,6,58,36,6,56,38,0,100,0
207865,5186,4145,3464,1722,61,4,12,2,2,0,4,11,4,2,65,16,4347,752,292,2470,833,2968,712,219,2034,3,1379,40,73,436,830,61,4,14,2,2,0,3,11,4,2,63,839,496,343,65,4,7,4,4,0,5,11,1,3,75,1436,838,598,767,484,283,669,354,315,18,63,19,0,676,52,20,4,90,7,3,1,36,41,22,32,45,23,59,21,19
207935,15655,8577,4999,10656,47,8,17,5,5,0,6,13,1,3,64,13,15655,3584,219,8425,3427,4999,2033,67,2613,286,10656,1551,152,5812,3141,47,8,17,5,5,0,6,13,1,3,64,0,0,0,,,,,,,,,,,,4181,4181,0,869,869,0,3312,3312,0,21,51,28,0,3355,37,90,102,94,1,3,3,32,29,39,32,29,39,,,
207962,892,892,892,0,41,21,17,2,1,0,18,0,1,0,15,37,892,331,0,552,9,892,331,0,552,9,0,0,0,0,0,41,21,17,2,1,0,18,0,1,0,15,0,0,0,,,,,,,,,,,,352,352,0,352,352,0,0,0,0,2,58,39,0,251,80,0,0,76,24,0,0,0,5,95,0,5,95,,,
207971,3914,3644,3473,441,48,6,11,7,7,0,4,8,7,10,50,24,2852,733,165,1915,39,2595,675,114,1784,22,257,58,51,131,17,49,7,13,8,8,0,4,9,5,5,52,1062,878,184,45,3,5,3,3,0,4,4,11,24,45,940,262,678,699,173,526,241,89,152,1,90,9,0,383,322,28,0,52,44,4,0,8,6,86,8,1,91,8,20,73
208035,1162,713,486,676,51,6,24,1,1,0,1,8,6,3,65,15,1162,203,50,562,347,486,172,25,277,12,676,31,25,285,335,51,6,24,1,1,0,1,8,6,3,65,0,0,0,,,,,,,,,,,,286,286,0,69,69,0,217,217,0,26,49,25,0,161,35,3,4,79,17,1,2,43,43,15,43,43,15,,,
208044,29,29,29,0,76,0,17,0,0,0,7,0,0,0,90,59,29,17,0,12,0,29,17,0,12,0,0,0,0,0,0,76,0,17,0,0,0,7,0,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16,1,0,0,94,6,0,0,0,0,100,0,0,100,,,
208053,322,133,38,284,54,1,20,0,0,0,3,21,0,0,41,10,322,57,0,15,250,38,33,0,5,0,284,24,0,10,250,54,1,20,0,0,0,3,21,0,0,41,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,53,3,0,1,93,5,0,2,0,0,100,0,0,100,,,
208275,1407,859,582,825,43,1,32,2,1,1,4,2,16,0,54,14,1407,263,83,616,445,582,191,62,296,33,825,72,21,320,412,43,1,32,2,1,1,4,2,16,0,54,0,0,0,,,,,,,,,,,,493,493,0,117,117,0,376,376,0,6,59,35,0,224,39,0,0,85,15,0,0,51,21,28,51,21,28,,,
208318,4332,2729,1919,2413,67,1,15,2,2,0,2,5,9,0,54,11,4332,784,350,2655,543,1919,479,181,1230,29,2413,305,169,1425,514,67,1,15,2,2,0,2,5,9,0,54,0,0,0,,,,,,,,,,,,1514,1514,0,547,547,0,967,967,0,11,54,35,1,702,37,0,45,90,5,0,6,17,23,60,17,23,60,,,
